,time_period,rainfall,mean_temperature,population,location,E,month,ID_year,ID_spat,rainsum,meantemperature
0,2017-01,386.534,24.44,733678.522672603,Acre,733678.522672603,1,2017,Acre,386.534,24.44
1,2017-02,271.348,24.89,733678.522672603,Acre,733678.522672603,2,2017,Acre,271.348,24.89
2,2017-03,301.901,24.82,733678.522672603,Acre,733678.522672603,3,2017,Acre,301.901,24.82
3,2017-04,202.661,24.88,733678.522672603,Acre,733678.522672603,4,2017,Acre,202.661,24.88
4,2017-05,149.251,24.93,733678.522672603,Acre,733678.522672603,5,2017,Acre,149.251,24.93
5,2017-06,57.723,23.92,733678.522672603,Acre,733678.522672603,6,2017,Acre,57.723,23.92
0,2017-01,30.621,26.55,1939232.32925536,Alagoas,1939232.32925536,1,2017,Alagoas,30.621,26.55
1,2017-02,27.508,26.81,1939232.32925536,Alagoas,1939232.32925536,2,2017,Alagoas,27.508,26.81
2,2017-03,44.26,26.97,1939232.32925536,Alagoas,1939232.32925536,3,2017,Alagoas,44.26,26.97
3,2017-04,74.839,26.02,1939232.32925536,Alagoas,1939232.32925536,4,2017,Alagoas,74.839,26.02
4,2017-05,155.31,24.72,1939232.32925536,Alagoas,1939232.32925536,5,2017,Alagoas,155.31,24.72
5,2017-06,140.805,23.25,1939232.32925536,Alagoas,1939232.32925536,6,2017,Alagoas,140.805,23.25
0,2017-01,264.577,25.4,482707.739091826,Amapa,482707.739091826,1,2017,Amapa,264.577,25.4
1,2017-02,314.046,24.77,482707.739091826,Amapa,482707.739091826,2,2017,Amapa,314.046,24.77
2,2017-03,231.679,25.42,482707.739091826,Amapa,482707.739091826,3,2017,Amapa,231.679,25.42
3,2017-04,142.662,25.36,482707.739091826,Amapa,482707.739091826,4,2017,Amapa,142.662,25.36
4,2017-05,50.838,25.68,482707.739091826,Amapa,482707.739091826,5,2017,Amapa,50.838,25.68
5,2017-06,8.182,24.67,482707.739091826,Amapa,482707.739091826,6,2017,Amapa,8.182,24.67
0,2017-01,100.233,25.08,3922237.75063418,Amazonas,3922237.75063418,1,2017,Amazonas,100.233,25.08
1,2017-02,142.527,23.73,3922237.75063418,Amazonas,3922237.75063418,2,2017,Amazonas,142.527,23.73
2,2017-03,97.932,24.07,3922237.75063418,Amazonas,3922237.75063418,3,2017,Amazonas,97.932,24.07
3,2017-04,34.531,23.05,3922237.75063418,Amazonas,3922237.75063418,4,2017,Amazonas,34.531,23.05
4,2017-05,42.657,21.31,3922237.75063418,Amazonas,3922237.75063418,5,2017,Amazonas,42.657,21.31
5,2017-06,9.978,20.38,3922237.75063418,Amazonas,3922237.75063418,6,2017,Amazonas,9.978,20.38
0,2017-01,346.29,24.82,14966698.5655249,Bahia,14966698.5655249,1,2017,Bahia,346.29,24.82
1,2017-02,376.525,24.55,14966698.5655249,Bahia,14966698.5655249,2,2017,Bahia,376.525,24.55
2,2017-03,361.722,24.88,14966698.5655249,Bahia,14966698.5655249,3,2017,Bahia,361.722,24.88
3,2017-04,316.033,25.08,14966698.5655249,Bahia,14966698.5655249,4,2017,Bahia,316.033,25.08
