,time_period,rainfall,mean_temperature,population,location,E,month,ID_year,ID_spat,rainsum,meantemperature
0,2016-08,161.963,28.43,262420.646205357,BinhDinh,262420.646205357,8,2016,BinhDinh,161.963,28.43
1,2016-09,185.089,26.94,262420.646205357,BinhDinh,262420.646205357,9,2016,BinhDinh,185.089,26.94
2,2016-10,307.966,25.43,262420.646205357,BinhDinh,262420.646205357,10,2016,BinhDinh,307.966,25.43
3,2016-11,369.473,24.1,262420.646205357,BinhDinh,262420.646205357,11,2016,BinhDinh,369.473,24.1
4,2016-12,657.987,22.32,262420.646205357,BinhDinh,262420.646205357,12,2016,BinhDinh,657.987,22.32
5,2017-01,171.953,22.06,265789.823102679,BinhDinh,265789.823102679,1,2017,BinhDinh,171.953,22.06
0,2016-08,242.978,27.29,932546.767857143,CaMau,932546.767857143,8,2016,CaMau,242.978,27.29
1,2016-09,352.877,26.68,932546.767857143,CaMau,932546.767857143,9,2016,CaMau,352.877,26.68
2,2016-10,494.424,26.08,932546.767857143,CaMau,932546.767857143,10,2016,CaMau,494.424,26.08
3,2016-11,277.168,26.44,932546.767857143,CaMau,932546.767857143,11,2016,CaMau,277.168,26.44
4,2016-12,221.256,25.74,932546.767857143,CaMau,932546.767857143,12,2016,CaMau,221.256,25.74
5,2017-01,93.123,25.96,947523.383928571,CaMau,947523.383928571,1,2017,CaMau,93.123,25.96
0,2016-08,129.728,27.59,2901918.07979911,DaNang,2901918.07979911,8,2016,DaNang,129.728,27.59
1,2016-09,246.857,26.33,2901918.07979911,DaNang,2901918.07979911,9,2016,DaNang,246.857,26.33
2,2016-10,404.417,24.58,2901918.07979911,DaNang,2901918.07979911,10,2016,DaNang,404.417,24.58
3,2016-11,303.55,23.92,2901918.07979911,DaNang,2901918.07979911,11,2016,DaNang,303.55,23.92
4,2016-12,540.19,22.48,2901918.07979911,DaNang,2901918.07979911,12,2016,DaNang,540.19,22.48
5,2017-01,261.366,22.12,2920949.03989955,DaNang,2920949.03989955,1,2017,DaNang,261.366,22.12
0,2016-08,243.94,27.17,1780674.56696429,DakLak,1780674.56696429,8,2016,DakLak,243.94,27.17
1,2016-09,298.061,26.7,1780674.56696429,DakLak,1780674.56696429,9,2016,DakLak,298.061,26.7
2,2016-10,458.824,26.08,1780674.56696429,DakLak,1780674.56696429,10,2016,DakLak,458.824,26.08
3,2016-11,225.592,26.53,1780674.56696429,DakLak,1780674.56696429,11,2016,DakLak,225.592,26.53
4,2016-12,185.229,25.73,1780674.56696429,DakLak,1780674.56696429,12,2016,DakLak,185.229,25.73
5,2017-01,89.285,25.9,1806195.28348214,DakLak,1806195.28348214,1,2017,DakLak,89.285,25.9
0,2016-08,197.546,22.25,431622.820731027,DienBien,431622.820731027,8,2016,DienBien,197.546,22.25
1,2016-09,323.733,21.78,431622.820731027,DienBien,431622.820731027,9,2016,DienBien,323.733,21.78
2,2016-10,443.864,21.24,431622.820731027,DienBien,431622.820731027,10,2016,DienBien,443.864,21.24
3,2016-11,158.365,21.36,431622.820731027,DienBien,431622.820731027,11,2016,DienBien,158.365,21.36
4,2016-12,235.491,20.33,431622.820731027,DienBien,431622.820731027,12,2016,DienBien,235.491,20.33
5,2017-01,131.453,20.13,436027.910365513,DienBien,436027.910365513,1,2017,DienBien,131.453,20.13
0,2016-08,364.638,26.31,1150195.11886161,GiaLai,1150195.11886161,8,2016,GiaLai,364.638,26.31
1,2016-09,359.809,24.88,1150195.11886161,GiaLai,1150195.11886161,9,2016,GiaLai,359.809,24.88
2,2016-10,262.193,23.61,1150195.11886161,GiaLai,1150195.11886161,10,2016,GiaLai,262.193,23.61
3,2016-11,122.22,20.06,1150195.11886161,GiaLai,1150195.11886161,11,2016,GiaLai,122.22,20.06
4,2016-12,37.483,17.58,1150195.11886161,GiaLai,1150195.11886161,12,2016,GiaLai,37.483,17.58
5,2017-01,60.289,17.42,1165471.0594308,GiaLai,1165471.0594308,1,2017,GiaLai,60.289,17.42
0,2016-08,78.972,28.67,8622948.85714286,HaNoi,8622948.85714286,8,2016,HaNoi,78.972,28.67
1,2016-09,214.895,27.14,8622948.85714286,HaNoi,8622948.85714286,9,2016,HaNoi,214.895,27.14
2,2016-10,375.287,25.44,8622948.85714286,HaNoi,8622948.85714286,10,2016,HaNoi,375.287,25.44
3,2016-11,273.989,24.34,8622948.85714286,HaNoi,8622948.85714286,11,2016,HaNoi,273.989,24.34
4,2016-12,487.34,22.76,8622948.85714286,HaNoi,8622948.85714286,12,2016,HaNoi,487.34,22.76
5,2017-01,219.265,22.46,8697718.42857143,HaNoi,8697718.42857143,1,2017,HaNoi,219.265,22.46
0,2016-08,147.737,27.55,2342389.66964286,HaiPhong,2342389.66964286,8,2016,HaiPhong,147.737,27.55
1,2016-09,418.321,25.98,2342389.66964286,HaiPhong,2342389.66964286,9,2016,HaiPhong,418.321,25.98
2,2016-10,585.629,24.55,2342389.66964286,HaiPhong,2342389.66964286,10,2016,HaiPhong,585.629,24.55
3,2016-11,363.929,21.67,2342389.66964286,HaiPhong,2342389.66964286,11,2016,HaiPhong,363.929,21.67
