,time_period,rainfall,mean_temperature,disease_cases,population,location,Cases,E,month,ID_year,ID_spat,rainsum,meantemperature
0,2000-07,128.799,26.86,0.0,208513.815848214,BinhDinh,0.0,208513.815848214,7,2000,BinhDinh,128.799,26.86
1,2000-08,83.676,27.7,2.0,208513.815848214,BinhDinh,2.0,208513.815848214,8,2000,BinhDinh,83.676,27.7
2,2000-09,124.339,25.99,11.0,208513.815848214,BinhDinh,11.0,208513.815848214,9,2000,BinhDinh,124.339,25.99
3,2000-10,461.844,24.55,27.0,208513.815848214,BinhDinh,27.0,208513.815848214,10,2000,BinhDinh,461.844,24.55
4,2000-11,415.541,22.7,72.0,208513.815848214,BinhDinh,72.0,208513.815848214,11,2000,BinhDinh,415.541,22.7
5,2000-12,330.334,21.84,0.0,208513.815848214,BinhDinh,0.0,208513.815848214,12,2000,BinhDinh,330.334,21.84
6,2001-01,69.774,21.92,0.0,211882.992745536,BinhDinh,0.0,211882.992745536,1,2001,BinhDinh,69.774,21.92
7,2001-02,59.082,21.67,3.0,211882.992745536,BinhDinh,3.0,211882.992745536,2,2001,BinhDinh,59.082,21.67
8,2001-03,164.577,23.68,10.0,211882.992745536,BinhDinh,10.0,211882.992745536,3,2001,BinhDinh,164.577,23.68
9,2001-04,29.863,26.3,0.0,211882.992745536,BinhDinh,0.0,211882.992745536,4,2001,BinhDinh,29.863,26.3
10,2001-05,293.634,27.38,15.0,211882.992745536,BinhDinh,15.0,211882.992745536,5,2001,BinhDinh,293.634,27.38
11,2001-06,76.133,27.64,17.0,211882.992745536,BinhDinh,17.0,211882.992745536,6,2001,BinhDinh,76.133,27.64
12,2001-07,54.868,28.57,2.0,211882.992745536,BinhDinh,2.0,211882.992745536,7,2001,BinhDinh,54.868,28.57
13,2001-08,175.806,26.97,6.0,211882.992745536,BinhDinh,6.0,211882.992745536,8,2001,BinhDinh,175.806,26.97
14,2001-09,112.753,26.87,54.0,211882.992745536,BinhDinh,54.0,211882.992745536,9,2001,BinhDinh,112.753,26.87
15,2001-10,293.689,24.54,29.0,211882.992745536,BinhDinh,29.0,211882.992745536,10,2001,BinhDinh,293.689,24.54
16,2001-11,252.066,22.46,20.0,211882.992745536,BinhDinh,20.0,211882.992745536,11,2001,BinhDinh,252.066,22.46
17,2001-12,246.855,21.55,11.0,211882.992745536,BinhDinh,11.0,211882.992745536,12,2001,BinhDinh,246.855,21.55
18,2002-01,80.455,20.93,13.0,215252.169642857,BinhDinh,13.0,215252.169642857,1,2002,BinhDinh,80.455,20.93
19,2002-02,37.178,21.36,1.0,215252.169642857,BinhDinh,1.0,215252.169642857,2,2002,BinhDinh,37.178,21.36
20,2002-03,32.761,23.93,12.0,215252.169642857,BinhDinh,12.0,215252.169642857,3,2002,BinhDinh,32.761,23.93
21,2002-04,34.209,26.21,8.0,215252.169642857,BinhDinh,8.0,215252.169642857,4,2002,BinhDinh,34.209,26.21
22,2002-05,120.898,27.96,41.0,215252.169642857,BinhDinh,41.0,215252.169642857,5,2002,BinhDinh,120.898,27.96
23,2002-06,72.206,28.5,32.0,215252.169642857,BinhDinh,32.0,215252.169642857,6,2002,BinhDinh,72.206,28.5
24,2002-07,28.486,29.43,48.0,215252.169642857,BinhDinh,48.0,215252.169642857,7,2002,BinhDinh,28.486,29.43
25,2002-08,220.819,26.96,32.0,215252.169642857,BinhDinh,32.0,215252.169642857,8,2002,BinhDinh,220.819,26.96
26,2002-09,411.354,25.55,31.0,215252.169642857,BinhDinh,31.0,215252.169642857,9,2002,BinhDinh,411.354,25.55
27,2002-10,152.04,24.61,63.0,215252.169642857,BinhDinh,63.0,215252.169642857,10,2002,BinhDinh,152.04,24.61
28,2002-11,373.429,23.21,34.0,215252.169642857,BinhDinh,34.0,215252.169642857,11,2002,BinhDinh,373.429,23.21
29,2002-12,219.31,22.84,37.0,215252.169642857,BinhDinh,37.0,215252.169642857,12,2002,BinhDinh,219.31,22.84
30,2003-01,59.46,20.53,16.0,218621.346540179,BinhDinh,16.0,218621.346540179,1,2003,BinhDinh,59.46,20.53
31,2003-02,49.773,22.33,10.0,218621.346540179,BinhDinh,10.0,218621.346540179,2,2003,BinhDinh,49.773,22.33
32,2003-03,165.423,23.99,9.0,218621.346540179,BinhDinh,9.0,218621.346540179,3,2003,BinhDinh,165.423,23.99
33,2003-04,30.286,26.37,8.0,218621.346540179,BinhDinh,8.0,218621.346540179,4,2003,BinhDinh,30.286,26.37
34,2003-05,151.665,27.2,11.0,218621.346540179,BinhDinh,11.0,218621.346540179,5,2003,BinhDinh,151.665,27.2
35,2003-06,169.428,28.0,38.0,218621.346540179,BinhDinh,38.0,218621.346540179,6,2003,BinhDinh,169.428,28.0
36,2003-07,96.911,27.34,12.0,218621.346540179,BinhDinh,12.0,218621.346540179,7,2003,BinhDinh,96.911,27.34
37,2003-08,100.874,27.86,19.0,218621.346540179,BinhDinh,19.0,218621.346540179,8,2003,BinhDinh,100.874,27.86
